Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,6545	15	17,07107	208	231	5544	---	---	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,49717	15	17,07107	114	143	3432	2,5	False	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,49139	15	17,07107	101	135	3240	5	False	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,37542	15	17,07107	98	134	3216	7,5	False	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,37061	15	17,07107	96	134	3216	10	False	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,78391	15	17,07107	141	145	3480	2,5	True	0%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,6969801	15	17,89949	129	148	3552	2,5	True	10%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,82333	15	17,07107	117	143	3432	2,5	True	20%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,8128899	15	17,07107	114	144	3456	2,5	True	30%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,77572	15	17,07107	139	150	3600	5	True	0%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	1,3988	15	17,07107	111	137	3288	5	True	10%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,62475	15	17,07107	109	135	3240	5	True	20%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,581	15	17,07107	101	135	3240	5	True	30%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,6399	15	17,07107	114	133	3192	7,5	True	0%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,6941299	15	17,07107	120	142	3408	7,5	True	10%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,6023	15	17,07107	105	133	3192	7,5	True	20%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,84348	15	17,07107	99	134	3216	7,5	True	30%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,72654	15	17,07107	108	140	3360	10	True	0%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,7984601	15	17,07107	109	136	3264	10	True	10%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,68641	15	17,07107	104	133	3192	10	True	20%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	0,61227	15	17,07107	98	134	3216	10	True	30%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,86341	15	17,07107	195	225	5400	---	---	---
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,40382	15	17,07107	108	136	3264	2,5	False	---
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,5188299	15	17,07107	101	133	3192	5	False	---
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,36762	15	17,07107	94	129	3096	7,5	False	---
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,37542	15	17,07107	94	129	3096	10	False	---
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,72038	15	17,07107	117	140	3360	2,5	True	0%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,9430801	15	17,07107	117	140	3360	2,5	True	10%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,77829	15	17,07107	117	140	3360	2,5	True	20%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,8901099	15	17,07107	116	140	3360	2,5	True	30%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,63586	15	17,07107	114	135	3240	5	True	0%
AR0012SR	(18x40)	(33x39)	Manhattan	True	1,03542	15	17,07107	114	135	3240	5	True	10%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,81991	15	17,07107	114	135	3240	5	True	20%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,9024401	15	17,07107	112	134	3216	5	True	30%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,68483	15	17,07107	116	145	3480	7,5	True	0%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,82544	15	17,07107	116	145	3480	7,5	True	10%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,6794599	15	17,07107	115	144	3456	7,5	True	20%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,67614	15	17,07107	115	144	3456	7,5	True	30%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,77958	15	17,07107	100	129	3096	10	True	0%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,5796601	15	17,07107	100	129	3096	10	True	10%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,62108	15	17,07107	100	129	3096	10	True	20%
AR0012SR	(18x40)	(33x39)	Manhattan	True	0,57069	15	17,07107	100	129	3096	10	True	30%
